City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,aykhal,66.0,111.5,-21.23,99,100,4.69,RU,2023-03-30 18:30:37
164,narsaq,60.9167,-46.05,2.12,68,0,0.33,GL,2023-03-30 18:30:37
165,kupang,-10.1667,123.5833,26.2,77,100,3.77,ID,2023-03-30 18:30:38
166,plettenberg bay,-34.0527,23.3716,13.75,97,6,1.44,ZA,2023-03-30 18:30:34
167,iqaluit,63.7506,-68.5145,-16.15,77,20,0.0,CA,2023-03-30 18:29:48
168,neya,58.2972,43.8681,4.33,98,100,3.04,RU,2023-03-30 18:30:38
169,karpogory,64.0019,44.4451,0.15,99,100,3.2,RU,2023-03-30 18:30:38
170,kirakira,-10.4544,161.9205,25.91,83,94,0.09,SB,2023-03-30 18:30:38
171,la massana,42.5667,1.4833,6.41,63,100,4.27,AD,2023-03-30 18:30:39
172,shache,38.4167,77.2406,15.72,16,30,0.55,CN,2023-03-30 18:30:39
173,bathsheba,13.2167,-59.5167,29.34,58,20,10.29,BB,2023-03-30 18:30:39
174,sainte-maxime,43.3,6.6333,16.63,87,6,0.82,FR,2023-03-30 18:30:39
175,weligama,5.9667,80.4167,25.69,86,20,1.31,LK,2023-03-30 18:30:39
176,sola,-13.8833,167.55,27.5,74,73,2.33,VU,2023-03-30 18:30:39
177,tay ninh,11.3,106.1,26.03,73,23,3.88,VN,2023-03-30 18:30:40
178,priyutnoye,46.1011,43.5072,1.69,69,0,3.64,RU,2023-03-30 18:30:40
179,severo-kurilsk,50.6789,156.125,-0.85,76,3,3.83,RU,2023-03-30 18:30:40
180,tasiilaq,65.6145,-37.6368,-3.91,89,100,3.73,GL,2023-03-30 18:30:40
181,camalu,30.85,-116.0667,14.21,60,47,5.82,MX,2023-03-30 18:26:30
182,bonfim,3.0833,-59.95,32.85,44,90,2.57,BR,2023-03-30 18:30:41
183,vostok,46.4856,135.8833,-4.43,81,8,1.83,RU,2023-03-30 18:30:41
184,lagunas,-5.2269,-75.6753,29.07,79,52,0.73,PE,2023-03-30 18:30:41
185,padang,-0.9492,100.3543,22.03,81,100,1.24,ID,2023-03-30 18:30:41
186,geraldton,-28.7667,114.6,20.23,88,40,4.12,AU,2023-03-30 18:30:42
187,baghmara,23.795,86.2085,30.01,24,84,2.69,IN,2023-03-30 18:30:42
188,shangzhi,45.2167,127.9667,4.94,50,0,1.81,CN,2023-03-30 18:30:42
189,volchikha,52.0333,80.3833,-4.55,73,6,4.23,RU,2023-03-30 18:30:42
190,araguacu,-12.9306,-49.8264,30.31,59,12,0.87,BR,2023-03-30 18:30:42
191,buala,-8.145,159.5921,26.17,78,99,1.09,SB,2023-03-30 18:30:43
192,portland,45.5234,-122.6762,10.16,80,100,3.09,US,2023-03-30 18:28:56
193,bridlington,54.0831,-0.1919,13.96,88,5,4.05,GB,2023-03-30 18:30:43
194,ampanihy,-24.7,44.75,21.56,88,71,3.71,MG,2023-03-30 18:30:43
195,price,39.5994,-110.8107,5.06,65,20,2.57,US,2023-03-30 18:30:43
196,manchester,53.4809,-2.2374,13.52,75,100,3.09,GB,2023-03-30 18:27:30
197,norman wells,65.282,-126.8329,-10.98,62,40,6.69,CA,2023-03-30 18:30:44
198,pacaembu,-21.5622,-51.2606,30.33,54,46,1.11,BR,2023-03-30 18:30:44
199,ballina,-28.8667,153.5667,14.32,70,0,4.08,AU,2023-03-30 18:30:44
200,camacha,33.0833,-16.3333,20.68,68,0,5.66,PT,2023-03-30 18:30:44
201,clyde river,70.4692,-68.5914,-16.87,78,100,5.14,CA,2023-03-30 18:30:44
202,nanortalik,60.1432,-45.2371,-3.67,72,3,4.77,GL,2023-03-30 18:30:44
203,ixtapa,20.7,-105.2,25.57,50,100,5.14,MX,2023-03-30 18:30:45
204,namatanai,-3.6667,152.4333,24.62,87,100,2.45,PG,2023-03-30 18:30:45
